CP, 01, 2026081200, 01, CARQ, -18, 148N, 1373W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081200, 01, CARQ, -12, 149N, 1374W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 305,   2,     INVEST,  , 
CP, 01, 2026081200, 01, CARQ,  -6, 150N, 1376W,  30,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081200, 01, CARQ,   0, 151N, 1394W,  30, 1003, LO,  34, NEQ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,   X, 275,  15,     INVEST, S, 
CP, 01, 2026081200, 01, CARQ,   0, 151N, 1394W,  30, 1003, LO,  50, NEQ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,   X, 275,  15,     INVEST, S, 
CP, 01, 2026081200, 01, CARQ,   0, 151N, 1394W,  30, 1003, LO,  64, NEQ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,   X, 275,  15,     INVEST, S, 
CP, 01, 2026081206, 01, CARQ, -24, 148N, 1373W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081206, 01, CARQ, -18, 149N, 1374W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081206, 01, CARQ, -12, 150N, 1376W,  30,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 276,  10,     INVEST,  , 
CP, 01, 2026081206, 01, CARQ,  -6, 151N, 1394W,  30,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081206, 01, CARQ,   0, 150N, 1404W,  30, 1003, LO,  34, NEQ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,   X, 275,   9,     INVEST, S, 
CP, 01, 2026081206, 01, CARQ,   0, 150N, 1404W,  30, 1003, LO,  50, NEQ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,   X, 275,   9,     INVEST, S, 
CP, 01, 2026081206, 01, CARQ,   0, 150N, 1404W,  30, 1003, LO,  64, NEQ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,   X, 275,   9,     INVEST, S, 
CP, 01, 2026081212, 01, CARQ, -24, 149N, 1374W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,        ONE,  , 
CP, 01, 2026081212, 01, CARQ, -18, 150N, 1376W,  30,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,        ONE,  , 
CP, 01, 2026081212, 01, CARQ, -12, 151N, 1394W,  30,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 270,  14,        ONE,  , 
CP, 01, 2026081212, 01, CARQ,  -6, 150N, 1404W,  30,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,        ONE,  , 
CP, 01, 2026081212, 01, CARQ,   0, 150N, 1414W,  30, 1003, LO,  34, NEQ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,   X, 270,  10,        ONE, S, 
CP, 01, 2026081212, 01, CARQ,   0, 150N, 1414W,  30, 1003, LO,  50, NEQ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,   X, 270,  10,        ONE, S, 
CP, 01, 2026081212, 01, CARQ,   0, 150N, 1414W,  30, 1003, LO,  64, NEQ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,   X, 270,  10,        ONE, S, 
CP, 01, 2026081212, 03,  CMC,   0, 161N, 1397W,  44, 1003, XX,  34, NEQ,   94,  101,    0,    0, 
CP, 01, 2026081212, 03,  CMC,   6, 164N, 1415W,  35, 1004, XX,  34, NEQ,   95,    0,    0,   95, 
CP, 01, 2026081212, 03,  CMC,  12, 161N, 1433W,  32, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
